layer,proposal_key,caf_no,sw_no,state,district,category,status,status_field,date,date_field,dos,granted_date,project_area,sensitivity_type,sensitivity_name,relation
ec_proposals,IA/MH/IND1/453629/2023,CAF/131003/2023,SW/134171/2023,MAHARASHTRA,CHANDRAPUR,Metallurgical Industries (ferrous and non ferrous),EC Granted,proposal_status,2023-11-28T22:46:11.105,dos,2023-11-28T22:46:11.105,2024-02-05T12:30:12.62,,CPCB Critically Polluted Area,Tadaliu MIDC,within
ec_proposals,SIA/GJ/IND3/503398/2024,CAF/198626/2024,SW/214105/2024,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,EC Granted,proposal_status,2024-11-11T16:51:37.091,dos,2024-11-11T16:51:37.091,2025-06-21T10:45:35.363,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,SIA/UK/MIN/456692/2023,CAF/141566/2023,SW/145298/2023,UTTARAKHAND,DEHRADUN,Mining of minerals,EC Granted,proposal_status,2023-12-30T13:40:02.235,dos,2023-12-30T13:40:02.235,2025-02-10T15:52:39.636,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,IA/GJ/IND3/446870/2023,CAF/142098/2023,SW/145857/2023,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-10-04T18:05:16.916,dos,2023-10-04T18:05:16.916,2024-05-02T10:16:16.413,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,SIA/KA/INFRA2/467332/2024,CAF/161611/2024,SW/176287/2024,KARNATAKA,BENGALURU URBAN,Building / Construction ,EC Granted,proposal_status,2024-03-26T16:59:52.291,dos,2024-03-26T16:59:52.291,2024-08-16T16:08:20.687,,CPCB Critically Polluted Area,Peenya,within
ec_proposals,IA/GJ/IND3/431821/2023,CAF/127774/2023,SW/130774/2023,GUJARAT,SURAT,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-06-22T19:02:20.516,dos,2023-06-22T19:02:20.516,2023-12-29T19:06:59.783,,CPCB Critically Polluted Area,"Pandesara,Sachin",within
ec_proposals,SIA/GJ/IND3/531120/2025,CAF/226260/2025,SW/241407/2025,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,EC Granted,proposal_status,2025-03-25T16:07:58.896,dos,2025-03-25T16:07:58.896,2025-06-04T14:19:10.743,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,IA/MH/IND1/515618/2024,CAF/159367/2024,SW/174098/2024,MAHARASHTRA,CHANDRAPUR,Metallurgical Industries (ferrous and non ferrous),EC Granted,proposal_status,2025-01-11T18:45:55.369,dos,2025-01-11T18:45:55.369,2025-03-20T13:57:40.337,,CPCB Critically Polluted Area,Tadaliu MIDC,mostly_inside
ec_proposals,SIA/RJ/INFRA2/458647/2024,CAF/153741/2024,SW/168698/2024,RAJASTHAN,JAIPUR,Building / Construction ,EC Granted,proposal_status,2024-01-13T17:57:23.038,dos,2024-01-13T17:57:23.038,2024-07-02T13:02:56.926,,ESZ (gazette notified),Nahargarh Wildlife Sanctuary,partial
ec_proposals,SIA/UK/INFRA1/517889/2025,CAF/214064/2025,SW/229515/2025,UTTARAKHAND,DEHRADUN,"Industrial estates/ parks/ complexes/ areas, export processing Zones (EPZs), Special Economic Zones ",EC Granted,proposal_status,2025-01-09T16:02:33.085,dos,2025-01-09T16:02:33.085,2025-02-22T12:19:49.112,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,SIA/MH/MIN/482800/2024,CAF/177234/2024,SW/192028/2024,MAHARASHTRA,AHMEDNAGAR,Mining of minerals,EC Granted,proposal_status,2024-06-23T18:45:00.281,dos,2024-06-23T18:45:00.281,2024-12-11T17:47:11.617,,Wildlife Corridor,Great Indian Bustard,partial
ec_proposals,SIA/MH/MIN/482800/2024,CAF/177234/2024,SW/192028/2024,MAHARASHTRA,AHMEDNAGAR,Mining of minerals,EC Granted,proposal_status,2024-06-23T18:45:00.281,dos,2024-06-23T18:45:00.281,2024-12-11T17:47:11.617,,Wildlife Sanctuary,Great Indian Bustard,partial
ec_proposals,IA/MH/RIV/438958/2023,CAF/135197/2023,SW/138665/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-08-03T10:48:46.079,dos,2023-08-03T10:48:46.079,2023-09-23T21:09:26.436,,Eco-Sensitive Area,Western Ghat ESA,mostly_inside
ec_proposals,IA/MH/RIV/438958/2023,CAF/135197/2023,SW/138665/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-08-03T10:48:46.079,dos,2023-08-03T10:48:46.079,2023-09-23T21:09:26.436,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/438958/2023,CAF/135197/2023,SW/138665/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-08-03T10:48:46.079,dos,2023-08-03T10:48:46.079,2023-09-23T21:09:26.436,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/438958/2023,CAF/135197/2023,SW/138665/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-08-03T10:48:46.079,dos,2023-08-03T10:48:46.079,2023-09-23T21:09:26.436,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/IND3/430998/2023,CAF/127814/2023,SW/130816/2023,MAHARASHTRA,SOLAPUR,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-05-27T12:59:11.506,dos,2023-05-27T12:59:11.506,2023-09-05T14:53:03.992,,Wildlife Corridor,Great Indian Bustard,within
ec_proposals,IA/MH/IND3/430998/2023,CAF/127814/2023,SW/130816/2023,MAHARASHTRA,SOLAPUR,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-05-27T12:59:11.506,dos,2023-05-27T12:59:11.506,2023-09-05T14:53:03.992,,Wildlife Sanctuary,Great Indian Bustard,within
ec_proposals,SIA/AS/MIN/513362/2024,CAF/209242/2024,SW/224763/2024,ASSAM,JORHAT,Mining of minerals,EC Granted,proposal_status,2024-12-05T13:57:13.818,dos,2024-12-05T13:57:13.818,2025-01-02T15:23:17.134,,ESZ (gazette notified),Hollongapar WLS Assam,mostly_inside
ec_proposals,SIA/RJ/INFRA2/470184/2024,CAF/119526/2023,SW/122014/2023,RAJASTHAN,JODHPUR,Townships/ Area Development Projects / Rehabilitation Centres,EC Granted,proposal_status,2024-04-26T10:58:23.19,dos,2024-04-26T10:58:23.19,2024-08-21T13:01:25.598,,CPCB Critically Polluted Area,4th Phase & EPIP Boranada,partial
ec_proposals,SIA/RJ/INFRA2/470184/2024,CAF/119526/2023,SW/122014/2023,RAJASTHAN,JODHPUR,Townships/ Area Development Projects / Rehabilitation Centres,EC Granted,proposal_status,2024-04-26T10:58:23.19,dos,2024-04-26T10:58:23.19,2024-08-21T13:01:25.598,,CPCB Critically Polluted Area,Boranada Agro Food Park,partial
ec_proposals,SIA/RJ/MIN/509120/2025,0,SW/220553/2024,RAJASTHAN,0,NULL,EC Granted,proposal_status,2024-11-28T16:52:39.053,dos,2024-11-28T16:52:39.053,2025-05-02T16:25:15.223,,Wildlife Corridor,Kumbhalgarh,within
ec_proposals,IA/GJ/IND3/496319/2024,CAF/191334/2024,SW/206669/2024,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,ToR Granted,proposal_status,2024-09-20T12:12:58.658,dos,2024-09-20T12:12:58.658,2024-11-25T06:30:27.908,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,SIA/MH/MIN/465450/2024,CAF/159648/2024,SW/174399/2024,MAHARASHTRA,GONDIA,Mining of minerals,EC Granted,proposal_status,0,dos,0,2024-12-10T17:46:26.777,,ESZ (gazette notified),"Koka WLS, New Nagzira WLS, Nagzira WLS, Navegaon N",within
ec_proposals,SIA/RJ/MIN/473332/2024,CAF/167425/2024,SW/181934/2024,RAJASTHAN,ALWAR,Mining of minerals,EC Granted,proposal_status,2024-05-17T14:31:23.899,dos,2024-05-17T14:31:23.899,2025-05-26T13:15:48.224,,National Park,Sariska,within
ec_proposals,SIA/RJ/MIN/473332/2024,CAF/167425/2024,SW/181934/2024,RAJASTHAN,ALWAR,Mining of minerals,EC Granted,proposal_status,2024-05-17T14:31:23.899,dos,2024-05-17T14:31:23.899,2025-05-26T13:15:48.224,,Wildlife Corridor,Sariska,within
ec_proposals,IA/GJ/IND3/480176/2024,CAF/144459/2023,SW/148352/2023,GUJARAT,BHARUCH,Pesticides industry and pesticide specific intermediates (excluding formulations),EC Granted,proposal_status,2024-06-14T16:19:08.508,dos,2024-06-14T16:19:08.508,2024-08-14T08:31:41.914,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",within
ec_proposals,IA/OR/INFRA2/445941/2023,CAF/141355/2023,SW/144304/2023,ODISHA,JHARSUGUDA,"Common hazardous waste treatment, storage and disposal facilities (TSDFs)",ToR Granted,proposal_status,2023-09-29T16:38:39.649,dos,2023-09-29T16:38:39.649,2023-12-27T14:52:19.876,,CPCB Severely Polluted Area,Ib_Valley,within
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,mostly_inside
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/MH/RIV/453379/2023,CAF/148407/2023,SW/152536/2023,MAHARASHTRA,RAIGAD,River Valley/Irrigation projects,ToR Granted,proposal_status,2023-11-27T20:53:27.802,dos,2023-11-27T20:53:27.802,2024-01-30T16:41:45.341,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/GJ/IND3/538486/2025,CAF/233103/2025,SW/248058/2025,GUJARAT,AHMADABAD,Synthetic organic chemicals industry ,Standard ToR Granted,proposal_status,2025-05-22T12:16:00.795,dos,2025-05-22T12:16:00.795,2025-05-29T15:11:09.436,,CPCB Critically Polluted Area,Vatva,within
ec_proposals,SIA/TG/MIN/493229/2024,CAF/188143/2024,SW/203362/2024,TELANGANA,Mulugu,Mining of minerals,EC Granted,proposal_status,2024-08-18T15:03:06.127,dos,2024-08-18T15:03:06.127,2024-11-20T16:17:57.626,,ESZ (gazette notified),Pakhal WLS,within
ec_proposals,SIA/UK/MIN/485657/2024,CAF/180273/2024,SW/195291/2024,UTTARAKHAND,DEHRADUN,Mining of minerals,ToR Granted,proposal_status,2024-07-03T16:34:16.975,dos,2024-07-03T16:34:16.975,2024-11-26T14:32:51.666,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,SIA/OR/MIN/463730/2024,CAF/157830/2024,SW/172346/2024,ODISHA,CUTTACK,Mining of minerals,EC Granted,proposal_status,2024-02-22T15:47:36.83,dos,2024-02-22T15:47:36.83,2024-04-30T12:33:40.787,,ESZ (gazette notified),Chandaka Dampara WLS,within
ec_proposals,IA/TN/IND3/518201/2025,CAF/196073/2024,SW/210312/2024,TAMIL NADU,CUDDALORE,Synthetic organic chemicals industry ,EC Granted,proposal_status,2025-02-04T14:02:27.19,dos,2025-02-04T14:02:27.19,2025-03-17T08:46:39.4,,CPCB Severely Polluted Area,Cuddalore,within
ec_proposals,IA/GJ/IND3/437263/2023,CAF/133581/2023,SW/137001/2023,GUJARAT,VADODARA,Synthetic organic chemicals industry ,EC Granted,proposal_status,2023-07-19T18:41:23.969,dos,2023-07-19T18:41:23.969,2023-09-27T14:25:57.461,,CPCB Critically Polluted Area,Nandesari,within
ec_proposals,IA/MH/RIV/535277/2025,CAF/225966/2025,SW/241115/2025,MAHARASHTRA,SATARA,River Valley/Irrigation projects,ToR Granted,proposal_status,2025-04-28T20:21:09.171,dos,2025-04-28T20:21:09.171,2025-06-02T08:05:28.69,,Eco-Sensitive Area,Western Ghat ESA,partial
ec_proposals,IA/GJ/INFRA1/469171/2024,CAF/163314/2024,SW/177902/2024,GUJARAT,MORBI,Road,ToR Granted,proposal_status,2024-04-13T20:50:41.475,dos,2024-04-13T20:50:41.475,2024-07-27T14:28:05.166,,National Park,Marine,partial
ec_proposals,IA/GJ/INFRA1/469171/2024,CAF/163314/2024,SW/177902/2024,GUJARAT,MORBI,Road,ToR Granted,proposal_status,2024-04-13T20:50:41.475,dos,2024-04-13T20:50:41.475,2024-07-27T14:28:05.166,,Wildlife Corridor,Marine,partial
ec_proposals,SIA/KA/MIN/499775/2025,0,SW/210280/2024,KARNATAKA,0,NULL,EC Granted,proposal_status,2024-10-05T15:30:32.554,dos,2024-10-05T15:30:32.554,2025-04-05T12:04:34.696,,Tiger Corridor,(unnamed),within
ec_proposals,IA/TG/IND3/445171/2023,CAF/140726/2023,SW/144429/2023,TELANGANA,SANGAREDDY,Synthetic organic chemicals industry ,ToR Granted,proposal_status,2023-09-21T15:56:45.349,dos,2023-09-21T15:56:45.349,2023-11-10T23:31:49.678,,CPCB Critically Polluted Area,"IDA, PATANCHERU",within
ec_proposals,SIA/UK/IND3/470379/2024,CAF/164508/2024,SW/179056/2024,UTTARAKHAND,DEHRADUN,Synthetic organic chemicals industry ,EC Granted,proposal_status,2024-04-24T18:35:09.9,dos,2024-04-24T18:35:09.9,2024-07-22T16:33:49.742,,Eco-Sensitive Area,Doon Valley,within
ec_proposals,SIA/AS/MIN/525099/2025,CAF/220733/2025,SW/235968/2025,ASSAM,JORHAT,Mining of minerals,EC Granted,proposal_status,2025-02-21T17:19:59.737,dos,2025-02-21T17:19:59.737,2025-05-26T16:09:36.102,,ESZ (gazette notified),Hollongapar WLS Assam,partial
ec_proposals,SIA/GJ/MIN/498310/2024,CAF/193456/2024,SW/208760/2024,GUJARAT,BANAS KANTHA,Mining of minerals,EC Granted,proposal_status,2024-09-25T18:05:51.78,dos,2024-09-25T18:05:51.78,2024-12-22T18:03:45.41,,Wildlife Corridor,Balaram Ambaji,within
ec_proposals,SIA/GJ/MIN/498310/2024,CAF/193456/2024,SW/208760/2024,GUJARAT,BANAS KANTHA,Mining of minerals,EC Granted,proposal_status,2024-09-25T18:05:51.78,dos,2024-09-25T18:05:51.78,2024-12-22T18:03:45.41,,Wildlife Sanctuary,Balaram Ambaji Sanctuary,within
